,state,fips,cases,deaths,employed-sugar-intake-daily
25558,Connecticut,9,966353,11941,18.9 
25559,District of Columbia,11,176012,1422,18.5 
25560,Indiana,18,2024969,25861,35.9 
25561,Iowa,19,894126,10568,34.2 
25562,Kansas,20,926552,10080,32.4 
25563,Kentucky,21,1692590,17974,43.4 
25564,Louisiana,22,1538276,18525,46.9 
25565,Maryland,24,1344970,16296,28.0 
25566,Minnesota,27,1753092,14554,23.5 
25567,Mississippi,28,974487,13191,49.7 
25568,Nebraska,31,561270,4910,31.1 
25569,New Jersey,34,3002299,35815,22.7 
25570,New York,36,6704403,78808,23.1 
25571,North Carolina,37,3412542,29141,42.1 
25572,Ohio,39,3347767,41443,32.0 
25573,Oklahoma,40,1270476,16177,46.5 
25574,South Carolina,45,1807019,19628,42.0 
25575,Utah,49,1081661,5253,30.3 
25576,Vermont,50,150190,889,16.7 
25577,West Virginia,54,634285,7945,46.1 
25578,Wisconsin,55,1981310,16154,29.7 
25579,Alaska,2,304681,1426,26.2 
25580,Arizona,4,2398200,32775,33.0 
25581,California,6,11983239,102337,22.9 
25582,Connecticut,9,966860,11964,18.9 
25583,District of Columbia,11,176012,1422,18.5 
25584,Indiana,18,2024969,25861,35.9 
25585,Iowa,19,894126,10568,34.2 
25586,Kansas,20,926552,10082,32.4 
25587,Kentucky,21,1692590,17974,43.4 
25588,Louisiana,22,1538276,18525,46.9 
25589,Maryland,24,1346472,16308,28.0 
25590,Minnesota,27,1753092,14554,23.5 
25591,Mississippi,28,977790,13249,49.7 
25592,Nebraska,31,561270,4910,31.1 
25593,New Jersey,34,3002299,35815,22.7 
25594,New York,36,6706997,78850,23.1 
25595,North Carolina,37,3412542,29141,42.1 
25596,Ohio,39,3347767,41443,32.0 
25597,Oklahoma,40,1270476,16177,46.5 
25598,South Carolina,45,1812958,19628,42.0 
25599,Utah,49,1081661,5253,30.3 
25600,Vermont,50,150190,889,16.7 
25601,West Virginia,54,634541,7957,46.1 
25602,Wisconsin,55,1983469,16172,29.7 
25603,Alaska,2,304681,1426,26.2 
25604,Arizona,4,2401287,32882,33.0 
25605,California,6,11984822,102368,22.9 
25606,Connecticut,9,967429,11964,18.9 
25607,District of Columbia,11,176012,1422,18.5 
25608,Indiana,18,2029459,25861,35.9 
25609,Iowa,19,895619,10599,34.2 
25610,Kansas,20,928498,10082,32.4 
25611,Kentucky,21,1692590,17974,43.4 
25612,Louisiana,22,1548508,18572,46.9 
25613,Maryland,24,1347182,16317,28.0 
25614,Minnesota,27,1753092,14554,23.5 
25615,Mississippi,28,977790,13249,49.7 
25616,Nebraska,31,561334,4912,31.1 
25617,New Jersey,34,3004462,35841,22.7 
25618,New York,36,6710087,78874,23.1 
25619,North Carolina,37,3425789,29182,42.1 
25620,Ohio,39,3347767,41443,32.0 
25621,Oklahoma,40,1270476,16177,46.5 
25622,South Carolina,45,1812958,19628,42.0 
25623,Utah,49,1081661,5253,30.3 
25624,Vermont,50,150668,894,16.7 
25625,West Virginia,54,634853,7960,46.1 
25626,Wisconsin,55,1984254,16180,29.7 
25627,Alaska,2,304681,1426,26.2 
25628,Arizona,4,2401287,32882,33.0 
25629,California,6,12004618,102522,22.9 
25630,Connecticut,9,967785,11971,18.9 
25631,District of Columbia,11,176012,1422,18.5 
25632,Indiana,18,2029459,25861,35.9 
25633,Iowa,19,895619,10599,34.2 
25634,Kansas,20,928498,10082,32.4 
25635,Kentucky,21,1692590,17974,43.4 
25636,Louisiana,22,1548508,18572,46.9 
25637,Maryland,24,1347772,16326,28.0 
25638,Minnesota,27,1757399,14602,23.5 
25639,Mississippi,28,977790,13249,49.7 
25640,Nebraska,31,561379,4913,31.1 
25641,New Jersey,34,3006450,35841,22.7 
25642,New York,36,6714356,78902,23.1 
25643,North Carolina,37,3425789,29182,42.1 
25644,Ohio,39,3356027,41536,32.0 
25645,Oklahoma,40,1274911,16205,46.5 
25646,South Carolina,45,1812958,19628,42.0 
25647,Utah,49,1082911,5259,30.3 
25648,Vermont,50,150668,894,16.7 
25649,West Virginia,54,635132,7973,46.1 
25650,Wisconsin,55,1984961,16190,29.7 
25651,Alaska,2,304681,1426,26.2 
25652,Arizona,4,2401287,32882,33.0 
25653,California,6,12006068,102539,22.9 
25654,Connecticut,9,968252,11973,18.9 
25655,District of Columbia,11,176425,1422,18.5 
25656,Indiana,18,2029459,25902,35.9 
25657,Iowa,19,895638,10599,34.2 
25658,Kansas,20,928498,10101,32.4 
25659,Kentucky,21,1692590,17974,43.4 
25660,Louisiana,22,1548508,18572,46.9 
25661,Maryland,24,1348603,16334,28.0 
25662,Minnesota,27,1757399,14602,23.5 
25663,Mississippi,28,977790,13249,49.7 
25664,Nebraska,31,562105,4926,31.1 
25665,New Jersey,34,3008422,35856,22.7 
25666,New York,36,6718359,78920,23.1 
25667,North Carolina,37,3425789,29182,42.1 
25668,Ohio,39,3356027,41536,32.0 
25669,Oklahoma,40,1274911,16205,46.5 
25670,South Carolina,45,1812958,19628,42.0 
25671,Utah,49,1082911,5259,30.3 
25672,Vermont,50,150668,894,16.7 
25673,West Virginia,54,635437,7974,46.1 
25674,Wisconsin,55,1985589,16194,29.7 
25675,Alaska,2,304681,1426,26.2 
25676,Arizona,4,2401287,32882,33.0 
25677,California,6,12006068,102539,22.9 
25678,Connecticut,9,968252,11973,18.9 
25679,District of Columbia,11,176425,1422,18.5 
25680,Indiana,18,2029459,25902,35.9 
25681,Iowa,19,895638,10599,34.2 
25682,Kansas,20,928498,10101,32.4 
25683,Kentucky,21,1692590,17974,43.4 
25684,Louisiana,22,1548508,18572,46.9 
25685,Maryland,24,1348603,16334,28.0 
25686,Minnesota,27,1757399,14602,23.5 
25687,Mississippi,28,977790,13249,49.7 
25688,Nebraska,31,562105,4926,31.1 
25689,New Jersey,34,3008422,35856,22.7 
25690,New York,36,6719994,78920,23.1 
25691,North Carolina,37,3425789,29182,42.1 
25692,Ohio,39,3356027,41536,32.0 
25693,Oklahoma,40,1274911,16205,46.5 
25694,South Carolina,45,1812958,19628,42.0 
25695,Utah,49,1082911,5259,30.3 
25696,Vermont,50,150668,894,16.7 
25697,West Virginia,54,635437,7974,46.1 
25698,Wisconsin,55,1985589,16194,29.7 
25699,Alaska,2,304681,1426,26.2 
25700,Arizona,4,2401287,32882,33.0 
25701,California,6,12006071,102539,22.9 
25702,Connecticut,9,969057,11973,18.9 
25703,District of Columbia,11,176425,1422,18.5 
25704,Indiana,18,2029459,25902,35.9 
25705,Iowa,19,895638,10599,34.2 
25706,Kansas,20,928498,10101,32.4 
25707,Kentucky,21,1692590,17974,43.4 
25708,Louisiana,22,1548508,18572,46.9 
25709,Maryland,24,1348603,16334,28.0 
25710,Minnesota,27,1757399,14602,23.5 
25711,Mississippi,28,977790,13249,49.7 
25712,Nebraska,31,562105,4926,31.1 
25713,New Jersey,34,3008422,35856,22.7 
25714,New York,36,6721204,78920,23.1 
25715,North Carolina,37,3425789,29182,42.1 
25716,Ohio,39,3356027,41536,32.0 
25717,Oklahoma,40,1274911,16205,46.5 
25718,South Carolina,45,1812958,19628,42.0 
25719,Utah,49,1082911,5259,30.3 
25720,Vermont,50,150668,894,16.7 
25721,West Virginia,54,635437,7974,46.1 
25722,Wisconsin,55,1985589,16194,29.7 
25723,Alaska,2,304681,1426,26.2 
25724,Arizona,4,2401287,32882,33.0 
25725,California,6,12008242,102570,22.9 
25726,Connecticut,9,969194,11973,18.9 
25727,District of Columbia,11,176425,1422,18.5 
25728,Indiana,18,2029459,25902,35.9 
25729,Iowa,19,895638,10599,34.2 
25730,Kansas,20,928513,10101,32.4 
25731,Kentucky,21,1698146,18020,43.4 
25732,Louisiana,22,1548508,18572,46.9 
25733,Maryland,24,1349443,16349,28.0 
25734,Minnesota,27,1757399,14602,23.5 
25735,Mississippi,28,977790,13249,49.7 
25736,Nebraska,31,562189,4926,31.1 
25737,New Jersey,34,3013990,35869,22.7 
25738,New York,36,6726188,78950,23.1 
25739,North Carolina,37,3425789,29182,42.1 
25740,Ohio,39,3356027,41536,32.0 
25741,Oklahoma,40,1274911,16205,46.5 
25742,South Carolina,45,1812958,19628,42.0 
25743,Utah,49,1082911,5259,30.3 
25744,Vermont,50,150668,894,16.7 
25745,West Virginia,54,635982,7981,46.1 
25746,Wisconsin,55,1985589,16194,29.7 
25747,Alaska,2,305370,1426,26.2 
25748,Arizona,4,2401287,32882,33.0 
25749,California,6,12009359,102593,22.9 
25750,Connecticut,9,969669,11973,18.9 
25751,District of Columbia,11,176425,1422,18.5 
25752,Indiana,18,2029459,25902,35.9 
25753,Iowa,19,895638,10599,34.2 
25754,Kansas,20,928513,10101,32.4 
25755,Kentucky,21,1698146,18020,43.4 
25756,Louisiana,22,1548508,18572,46.9 
25757,Maryland,24,1351058,16362,28.0 
25758,Minnesota,27,1757399,14602,23.5 
25759,Mississippi,28,981020,13257,49.7 
25760,Nebraska,31,562238,4926,31.1 
25761,New Jersey,34,3015666,35876,22.7 
25762,New York,36,6728037,78981,23.1 
25763,North Carolina,37,3425789,29182,42.1 
25764,Ohio,39,3356027,41536,32.0 
25765,Oklahoma,40,1274911,16205,46.5 
25766,South Carolina,45,1818546,19820,42.0 
25767,Utah,49,1082911,5259,30.3 
25768,Vermont,50,150668,894,16.7 
25769,West Virginia,54,636240,7982,46.1 
25770,Wisconsin,55,1987650,16216,29.7 
25771,Alaska,2,305370,1426,26.2 
25772,Arizona,4,2404386,32936,33.0 
25773,California,6,12010445,102623,22.9 
25774,Connecticut,9,970074,12037,18.9 
25775,District of Columbia,11,176425,1422,18.5 
25776,Indiana,18,2033879,25902,35.9 
25777,Iowa,19,897136,10627,34.2 
25778,Kansas,20,930452,10101,32.4 
25779,Kentucky,21,1698146,18020,43.4 
25780,Louisiana,22,1555480,18624,46.9 
25781,Maryland,24,1351684,16374,28.0 
25782,Minnesota,27,1757399,14602,23.5 
25783,Mississippi,28,981020,13257,49.7 
25784,Nebraska,31,562294,4927,31.1 
25785,New Jersey,34,3017709,35885,22.7 
25786,New York,36,6730531,79017,23.1 
25787,North Carolina,37,3438259,29279,42.1 
25788,Ohio,39,3356027,41536,32.0 
25789,Oklahoma,40,1274911,16205,46.5 
25790,South Carolina,45,1818546,19820,42.0 
25791,Utah,49,1082911,5259,30.3 
25792,Vermont,50,150985,901,16.7 
25793,West Virginia,54,636560,7988,46.1 
25794,Wisconsin,55,1988518,16229,29.7 
25795,Alaska,2,305370,1426,26.2 
25796,Arizona,4,2404386,32936,33.0 
25797,California,6,12030850,102744,22.9 
25798,Connecticut,9,970422,12036,18.9 
25799,District of Columbia,11,176845,1425,18.5 
25800,Indiana,18,2033879,25959,35.9 
25801,Iowa,19,897136,10627,34.2 
25802,Kansas,20,930452,10101,32.4 
25803,Kentucky,21,1698146,18020,43.4 
25804,Louisiana,22,1555480,18624,46.9 
25805,Maryland,24,1352432,16384,28.0 
25806,Minnesota,27,1761893,14682,23.5 
25807,Mississippi,28,981020,13257,49.7 
25808,Nebraska,31,562371,4927,31.1 
25809,New Jersey,34,3019724,35897,22.7 
25810,New York,36,6734154,79063,23.1 
25811,North Carolina,37,3438259,29279,42.1 
25812,Ohio,39,3364860,41601,32.0 
25813,Oklahoma,40,1278295,16258,46.5 
25814,South Carolina,45,1818546,19820,42.0 
25815,Utah,49,1084278,5270,30.3 
25816,Vermont,50,150985,901,16.7 
25817,West Virginia,54,636849,8001,46.1 
25818,Wisconsin,55,1989320,16232,29.7 
25819,Alaska,2,305370,1426,26.2 
